transaction_id,parent,parent_type,child,child_type,rel_type,date
2153/12_tr_01,Government of Sri Lanka,government,Minister of Defence,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_02,Government of Sri Lanka,government,"Minister of Finance, Economic and Policy Development",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_03,Government of Sri Lanka,government,"Minister of Buddhasasana, Cultural and Religious Affairs",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_04,Government of Sri Lanka,government,"Minister of Urban Development, Water Supply and Housing Facilities",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_05,Government of Sri Lanka,government,"Minister of Justice, Human Rights & Law Reforms",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_06,Government of Sri Lanka,government,Minister of Community Empowerment and Estate Infrastructure Development,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_07,Government of Sri Lanka,government,Minister of Foreign Relations,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_08,Government of Sri Lanka,government,"Minister of Skills Development, Employment and Labour Relations ",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_09,Government of Sri Lanka,government,Minister of Fisheries & Aquatic Resources,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_10,Government of Sri Lanka,government,Minister of Women & Child Affairs and Social Security,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_11,Government of Sri Lanka,government,Minister of Healthcare and Indigenous Medical Services,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_12,Government of Sri Lanka,government,Minister of Information and Communication Technology,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_13,Government of Sri Lanka,government,"Minister of Higher Education, Technology and Innovation",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_14,Government of Sri Lanka,government,"Minister of Public Administration Home Affairs, Provincial Councils & Local Government",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_15,Government of Sri Lanka,government,"Minister of Mahaweli, Agriculture, Irrigation and Rural Development",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_16,Government of Sri Lanka,government,"Minister of Internal Trade, Food Security and Consumer Welfare",minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_17,Government of Sri Lanka,government,Minister of Education,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_18,Government of Sri Lanka,government,Minister of Sports & Youth Affairs,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_19,Government of Sri Lanka,government,Minister of Roads and Highways,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_20,Government of Sri Lanka,government,Minister of Ports & Shipping,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_21,Government of Sri Lanka,government,Minister of Small & Medium Business and Enterprise Development,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_22,Government of Sri Lanka,government,Minister of Industries and Supply Chain Management,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_23,Government of Sri Lanka,government,Minister of Transport Services Management,minister,GOVERNS:AS_MINISTER,2019-12-10
2153/12_tr_24,Government of Sri Lanka,government,Minister of Power & Energy,minister,GOVERNS:AS_MINISTER,2019-12-10
